2026-02-25 19:41:06,561 | INFO | INICIANDO CICLO DE GOBERNANZA NIFI (Unified Suite)
2026-02-25 19:41:06,563 | INFO | [INICIO]: Backup de Flujo NiFi
2026-02-25 19:41:06,828 | ERROR | [ERROR] en Backup de Flujo NiFi: Command 'uv run python scripts/CICLO_GOBERNANZA/backup_nifi.py' returned non-zero exit status 2.
2026-02-25 19:41:06,829 | ERROR | Salida STDERR: C:\ProgramData\anaconda3\python.exe: can't open file 'C:\\Users\\Usuario\\OneDrive - UC CHRISTUS Chile\\Proyectos\\nifi_backup\\dashboard\\scripts\\CICLO_GOBERNANZA\\backup_nifi.py': [Errno 2] No such file or directory

2026-02-25 19:41:06,831 | WARNING | El backup falló. Intentando continuar con el último backup local...
2026-02-25 19:41:06,832 | WARNING | No se pudo detectar la ruta del backup generado. Usando escaneo de carpeta...
2026-02-25 19:41:06,833 | CRITICAL | No se pudo identificar un archivo de backup válido.
2026-02-26 08:43:04,271 | INFO | INICIANDO CICLO DE GOBERNANZA NIFI (Unified Suite)
2026-02-26 08:43:04,271 | INFO | [INICIO]: Backup de Flujo NiFi
2026-02-26 08:43:04,474 | ERROR | [ERROR] en Backup de Flujo NiFi: Command 'uv run python scripts/CICLO_GOBERNANZA/backup_nifi.py' returned non-zero exit status 2.
2026-02-26 08:43:04,474 | ERROR | Salida STDERR: C:\ProgramData\anaconda3\python.exe: can't open file 'C:\\Users\\Usuario\\OneDrive - UC CHRISTUS Chile\\Proyectos\\nifi_backup\\dashboard\\scripts\\CICLO_GOBERNANZA\\backup_nifi.py': [Errno 2] No such file or directory

2026-02-26 08:43:04,475 | WARNING | El backup falló. Intentando continuar con el último backup local...
2026-02-26 08:43:04,475 | WARNING | No se pudo detectar la ruta del backup generado. Usando escaneo de carpeta...
2026-02-26 08:43:04,475 | CRITICAL | No se pudo identificar un archivo de backup válido.
2026-02-26 08:43:42,928 | INFO | INICIANDO CICLO DE GOBERNANZA NIFI (Unified Suite)
2026-02-26 08:43:42,928 | INFO | [INICIO]: Backup de Flujo NiFi
2026-02-26 08:43:43,172 | ERROR | [ERROR] en Backup de Flujo NiFi: Command 'uv run python scripts/CICLO_GOBERNANZA/backup_nifi.py' returned non-zero exit status 2.
2026-02-26 08:43:43,172 | ERROR | Salida STDERR: C:\ProgramData\anaconda3\python.exe: can't open file 'C:\\Users\\Usuario\\OneDrive - UC CHRISTUS Chile\\Proyectos\\nifi_backup\\dashboard\\scripts\\CICLO_GOBERNANZA\\backup_nifi.py': [Errno 2] No such file or directory

2026-02-26 08:43:43,172 | WARNING | El backup falló. Intentando continuar con el último backup local...
2026-02-26 08:43:43,172 | WARNING | No se pudo detectar la ruta del backup generado. Usando escaneo de carpeta...
2026-02-26 08:43:43,172 | CRITICAL | No se pudo identificar un archivo de backup válido.
2026-02-26 08:43:48,293 | INFO | INICIANDO CICLO DE GOBERNANZA NIFI (Unified Suite)
2026-02-26 08:43:48,294 | INFO | [INICIO]: Backup de Flujo NiFi
2026-02-26 08:43:48,485 | ERROR | [ERROR] en Backup de Flujo NiFi: Command 'uv run python scripts/CICLO_GOBERNANZA/backup_nifi.py' returned non-zero exit status 2.
2026-02-26 08:43:48,485 | ERROR | Salida STDERR: C:\ProgramData\anaconda3\python.exe: can't open file 'C:\\Users\\Usuario\\OneDrive - UC CHRISTUS Chile\\Proyectos\\nifi_backup\\dashboard\\scripts\\CICLO_GOBERNANZA\\backup_nifi.py': [Errno 2] No such file or directory

